Threads,Coarse-Grained,Fine-Grained,Fine-Grained RW,Lock-Free
1,888.044,1389.02,1888.28,1157.23
2,1868.86,1780.26,1816.95,728.09
4,1915.75,6157.06,8054.78,407.65
8,1878.19,6529.83,8103.25,188.903
16,1861.86,6324.25,8010.44,147.042
32,1820.05,5642.77,8329.59,188.345
