Threads,Contention,Time (ms)
18,0.1875,1671.21
18,0.25,1478.75
18,0.3125,1270.93
18,0.375,1292.23
18,0.4375,1270.02
18,0.5,1575.23
18,0.5625,1631.16
18,0.625,1258.62
18,0.6875,1253.75
18,0.75,1287.95
18,0.8125,1674.84
18,0.875,1694.36
18,0.9375,1278.88
18,1,1682.57
19,0,1199.37
19,0.0625,1580.17
19,0.125,1656.56
19,0.1875,1314.72
19,0.25,1291.56
19,0.3125,1260.81
19,0.375,1609.32
19,0.4375,1574.27
19,0.5,1241.75
19,0.5625,1270.4
19,0.625,1223.21
19,0.6875,1436.84
19,0.75,1625.17
19,0.8125,1287.66
19,0.875,1305.39
19,0.9375,1306.3
19,1,2592.7
20,0,1211.86
20,0.0625,1283.98
20,0.125,1281.07
20,0.1875,1563.57
20,0.25,1667.65
20,0.3125,1297.57
20,0.375,1275.65
20,0.4375,1343.26
20,0.5,1581.59
20,0.5625,1282.24
20,0.625,1240.44
20,0.6875,1256.25
20,0.75,1261.59
20,0.8125,1610.99
20,0.875,1529.56
20,0.9375,1295.23
20,1,2150.66
21,0,1523.39
21,0.0625,1536.01
21,0.125,1286.63
21,0.1875,1323.5
21,0.25,1350.01
21,0.3125,1576.96
21,0.375,1345.28
21,0.4375,1441.49
21,0.5,1238.87
21,0.5625,1573.8
21,0.625,1490.8
21,0.6875,1342.76
21,0.75,1300.8
21,0.8125,1425.87
21,0.875,1602.63
21,0.9375,1404.98
21,1,2199.72
22,0,1365.6
22,0.0625,1376.73
22,0.125,1070.25
22,0.1875,840.636
22,0.25,1261.78
22,0.3125,1250.68
22,0.375,1258.21
22,0.4375,1620.14
22,0.5,1497.7
22,0.5625,1200.34
22,0.625,1257.4
22,0.6875,1208.67
22,0.75,1598.66
22,0.8125,1607.34
22,0.875,1254.61
22,0.9375,1287.28
22,1,2183.52
23,0,1504.57
23,0.0625,1366
23,0.125,1360.56
23,0.1875,1441.35
23,0.25,1544.73
23,0.3125,1347.76
23,0.375,1318.88
23,0.4375,1398.8
23,0.5,1548.52
23,0.5625,1405.96
23,0.625,1300.03
23,0.6875,1257.7
23,0.75,1326.25
23,0.8125,1405.21
23,0.875,1303.64
23,0.9375,1408.14
23,1,1444.83
24,0,742.555
24,0.0625,1515.7
24,0.125,1274.71
24,0.1875,1213.39
24,0.25,1256.54
24,0.3125,1366.38
24,0.375,1510.9
24,0.4375,1273.67
24,0.5,1350.71
24,0.5625,1310.23
24,0.625,1267.4
24,0.6875,1308.81
24,0.75,1279.84
24,0.8125,1296.13
24,0.875,1273.65
24,0.9375,1000.87
24,1,1328.27
25,0,1156.42
25,0.0625,1234.34
25,0.125,1236.83
25,0.1875,1197.58
25,0.25,1311.86
25,0.3125,1364.35
25,0.375,1848.74
25,0.4375,2122.96
25,0.5,1272.29
25,0.5625,1265.09
25,0.625,1211.74
25,0.6875,1198.19
25,0.75,1202.28
25,0.8125,1455.16
25,0.875,1203.21
25,0.9375,1237.87
25,1,2067.41
26,0,1227.28
26,0.0625,1220.13
26,0.125,1247.78
26,0.1875,1236.79
26,0.25,1261.99
26,0.3125,1252.02
26,0.375,1238.77
26,0.4375,1228.41
26,0.5,1229.8
26,0.5625,1232.39
26,0.625,1233.69
26,0.6875,1209.22
26,0.75,1244.63
26,0.8125,1229
26,0.875,1257.13
26,0.9375,1284.89
26,1,2023.78
27,0,1228.14
27,0.0625,1220.39
27,0.125,1216.44
27,0.1875,1229.75
27,0.25,1239.19
27,0.3125,1226.97
27,0.375,1228.72
27,0.4375,1232.68
27,0.5,1201.14
27,0.5625,1253.7
27,0.625,1204.46
27,0.6875,1201.47
27,0.75,1191.09
27,0.8125,1250.24
27,0.875,1242.25
27,0.9375,1273.48
27,1,2090.94
28,0,1274.22
28,0.0625,1313.87
