Thread Count,0% Contention,25% Contention,50% Contention,75% Contention,100% Contention
1,1566.15,1507.39,1483.61,1471.9,1469.27
2,1913.96,1641.19,1875.18,1931.36,1967.68
4,7005.14,7693.67,8582.48,8307.51,9339.61
8,7635.44,7539.63,7908.03,8077.23,8673.76
16,7151.81,6944.67,7486.51,7823.46,8290.75
32,6439.81,5868.06,6378.24,6432.68,7042.27
