Thread Count,0.0,0.25,0.5,0.75,1.0
1,888.044,1085.05,984.394,983.353,1054.51
2,1868.86,2040.37,1994.78,1975.8,2919.43
4,1915.75,2020.48,2025.93,1992.03,3305.65
8,1878.19,1788.38,1972.83,2117.42,2757.26
16,1861.86,1663.38,1603.1,1657.74,2427.85
32,1820.05,1588.78,1755.04,1928.6,2380.38
