Threads,Coarse-Grained,Fine-Grained,Fine-Grained RW,Lock-Free
1,816.064,1469.27,2110.39,1225.83
2,1787.17,1967.68,1962.88,762.895
4,1770.3,9339.61,1857.21,346.179
8,1999.08,8673.76,2166.59,191.568
16,1610.09,8290.75,1438.94,74.8422
32,1627.85,7042.27,1497.8,72.1029
