Starting single threaded tests...
Done!
Starting multi threaded tests...
Threads,Contention,Time (ms)
17,0.875,1636.56
17,0.9375,1976.19
17,1,2698.29
18,0,1286.61
18,0.0625,1351.73
18,0.125,1311.84
18,0.1875,1347.58
18,0.25,1302.76
18,0.3125,1385.34
18,0.375,1306.85
18,0.4375,1429.32
18,0.5,1419.8
18,0.5625,1341.44
18,0.625,1288.62
18,0.6875,1309.83
18,0.75,1272.24
18,0.8125,1371.72
18,0.875,1336.21
18,0.9375,1391.6
18,1,2589.24
19,0,1240.35
19,0.0625,1298.98
19,0.125,1277.1
19,0.1875,1328.96
19,0.25,1292.69
19,0.3125,1429.4
19,0.375,1365.63
19,0.4375,1291.62
19,0.5,1254.05
19,0.5625,1473.63
19,0.625,1474.07
19,0.6875,1297.37
19,0.75,1314.92
19,0.8125,1321.6
19,0.875,1296.01
19,0.9375,1364.06
19,1,1827.21
20,0,1231.72
20,0.0625,1315.21
20,0.125,1301.51
20,0.1875,1309.36
20,0.25,1294.55
20,0.3125,1289.96
20,0.375,1263.43
20,0.4375,1322.25
20,0.5,1299.51
20,0.5625,1296.94
20,0.625,1280.1
20,0.6875,1276.1
20,0.75,1270.34
20,0.8125,1298.05
20,0.875,1422.59
20,0.9375,1429.88
20,1,2197.94
21,0,1372.48
21,0.0625,1377.56
21,0.125,1454.37
21,0.1875,2133.05
21,0.25,2172.6
21,0.3125,1385.38
21,0.375,1294.11
21,0.4375,1264.65
21,0.5,1234.8
21,0.5625,1316.46
21,0.625,1284.3
21,0.6875,1260.76
21,0.75,1259.32
21,0.8125,1298.19
21,0.875,1304.99
21,0.9375,1306.23
21,1,2192.87
22,0,1324.87
22,0.0625,1274.58
22,0.125,1310.77
22,0.1875,1267.95
22,0.25,1260.64
22,0.3125,1327.61
22,0.375,1321.24
22,0.4375,1302.26
22,0.5,1233.85
22,0.5625,1313.31
22,0.625,1232.87
22,0.6875,1303.64
22,0.75,1242.17
22,0.8125,1444.63
22,0.875,1336.28
22,0.9375,1379.11
22,1,2209.68
23,0,1225.58
23,0.0625,1253.58
23,0.125,1330.96
23,0.1875,1292.32
23,0.25,1322.39
23,0.3125,1247.78
23,0.375,1242.49
23,0.4375,1278.6
23,0.5,1229.82
23,0.5625,1231.22
23,0.625,1234.95
23,0.6875,1255.96
23,0.75,1267.38
23,0.8125,1291.78
23,0.875,1378.49
23,0.9375,1382.35
23,1,2212.42
24,0,1614.33
24,0.0625,1430.39
24,0.125,1366.65
24,0.1875,1371.01
24,0.25,1450.12
24,0.3125,1371.27
24,0.375,1535.31
24,0.4375,1371.15
24,0.5,1371.5
24,0.5625,1330.55
24,0.625,1366.69
24,0.6875,1356.67
24,0.75,1331.14
24,0.8125,1380.24
