Thread Count,0.0,0.25,0.5,0.75,1.0
1,846.111,794.505,796.826,815.046,816.064
2,1861.82,1622.66,1748.22,1844.55,1787.17
4,2100.61,1649.83,1789.42,1687.79,1770.3
8,2281.81,1596.38,1786.41,1910.93,1999.08
16,1682.63,1302.53,1268.68,1360.84,1610.09
32,1586.62,1647.54,1591.64,1563.33,1627.85
